timestamp,asset,asset_type,open,high,low,close,adjusted_close,volume
2024-06-12,MSFT,Stock,435.3200073242188,443.3999938964844,433.25,441.05999755859375,435.17620849609375,22366200.0
2024-06-12,NVDA,Stock,123.05999755859376,126.87999725341795,122.56999969482422,125.1999969482422,125.13966369628906,299595000.0
2024-06-12,SOL,Cryptocurrency,149.31,161.84,145.44,155.22,155.22,3851856.394
2024-06-12,SPY,Stock,541.6300048828125,544.1199951171875,540.2999877929688,541.3599853515625,528.4979858398438,63251300.0
2024-06-12,TSLA,Stock,171.1199951171875,180.5500030517578,169.8000030517578,177.2899932861328,177.2899932861328,90389400.0
2024-06-12,V,Stock,276.7699890136719,277.6000061035156,269.8999938964844,270.32000732421875,266.81787109375,7536600.0
2024-06-12,XRP,Cryptocurrency,0.4803,0.4982,0.4742,0.4916,0.4916,341106347.0
2024-06-13,AAPL,Stock,214.7400054931641,216.75,211.6000061035156,214.2400054931641,212.5957794189453,97862700.0
2024-06-13,AMZN,Stock,186.08999633789065,187.6699981689453,182.6699981689453,183.8300018310547,183.8300018310547,39721500.0
2024-06-13,BNB,Cryptocurrency,619.4,619.9,595.6,599.8,599.8,313465.472
2024-06-13,BTC,Cryptocurrency,68263.98,68449.3,66251.78,66773.01,66773.01,29079.55571
2024-06-13,ETH,Cryptocurrency,3560.13,3561.65,3428.0,3469.4,3469.4,300230.8299
2024-06-13,GOOGL,Stock,176.11000061035156,176.74000549316406,174.8800048828125,175.16000366210938,173.92356872558594,20913300.0
2024-06-13,JPM,Stock,192.32000732421875,194.5800018310547,190.8800048828125,193.66000366210935,185.6597442626953,8587800.0
2024-06-13,META,Stock,505.7099914550781,509.3599853515625,501.3599853515625,504.1000061035156,500.70556640625,9954600.0
2024-06-13,MSFT,Stock,440.8500061035156,443.3900146484375,439.3699951171875,441.5799865722656,435.689208984375,15960600.0
2024-06-13,NVDA,Stock,129.38999938964844,129.8000030517578,127.16000366210938,129.61000061035156,129.5475311279297,260704500.0
2024-06-13,SOL,Cryptocurrency,155.21,155.21,146.03,147.29,147.29,2573289.111
2024-06-13,SPY,Stock,543.1500244140625,543.3300170898438,539.5900268554688,542.4500122070312,529.5620727539062,44760900.0
2024-06-13,TSLA,Stock,188.38999938964844,191.0800018310547,181.22999572753903,182.47000122070312,182.47000122070312,118984100.0
2024-06-13,V,Stock,270.32000732421875,271.8599853515625,269.32000732421875,271.19000244140625,267.6766052246094,7361200.0
2024-06-13,XRP,Cryptocurrency,0.4917,0.4917,0.4756,0.4769,0.4769,290198216.0
2024-06-14,AAPL,Stock,213.8500061035156,215.1699981689453,211.3000030517578,212.4900054931641,210.8592071533203,70122700.0
2024-06-14,AMZN,Stock,183.0800018310547,183.72000122070312,182.22999572753903,183.66000366210935,183.66000366210935,25456400.0
2024-06-14,BNB,Cryptocurrency,599.8,612.5,590.0,603.3,603.3,279802.085
2024-06-14,BTC,Cryptocurrency,66773.01,67370.24,65078.0,66043.99,66043.99,28408.18797
2024-06-14,ETH,Cryptocurrency,3469.4,3532.61,3362.26,3481.8,3481.8,322316.4214
2024-06-14,GOOGL,Stock,174.22000122070312,177.05999755859375,174.14999389648438,176.7899932861328,175.5420379638672,18063600.0
2024-06-14,JPM,Stock,191.4499969482422,194.8600006103516,191.4199981689453,193.77999877929688,185.77476501464844,6874000.0
2024-06-14,META,Stock,502.6499938964844,507.1499938964844,500.75,504.1600036621094,501.2623901367188,10243300.0
2024-06-14,MSFT,Stock,438.2799987792969,443.1400146484375,436.7200012207031,442.5700073242188,436.6660461425781,13582000.0
2024-06-14,NVDA,Stock,129.9600067138672,132.83999633789062,128.32000732421875,131.8800048828125,131.8164520263672,309320400.0
2024-06-14,SOL,Cryptocurrency,147.29,149.0,139.67,143.05,143.05,3183461.493
2024-06-14,SPY,Stock,540.8800048828125,542.8099975585938,539.8499755859375,542.780029296875,529.8842163085938,40089900.0
2024-06-14,TSLA,Stock,185.8000030517578,186.0,176.9199981689453,178.00999450683594,178.00999450683594,82038200.0
2024-06-14,V,Stock,270.1000061035156,271.54998779296875,269.2699890136719,270.6600036621094,267.1534729003906,8537300.0
2024-06-14,XRP,Cryptocurrency,0.4768,0.4814,0.4601,0.4746,0.4746,389318737.0
2024-06-15,BNB,Cryptocurrency,603.3,609.7,601.3,608.2,608.2,122650.197
2024-06-15,BTC,Cryptocurrency,66043.99,66478.48,65857.1,66228.25,66228.25,11451.80242
2024-06-15,ETH,Cryptocurrency,3481.8,3594.39,3473.1,3568.74,3568.74,246649.5894
2024-06-15,SOL,Cryptocurrency,143.04,145.78,142.92,145.52,145.52,1346924.922
2024-06-15,XRP,Cryptocurrency,0.4746,0.5053,0.474,0.4908,0.4908,176444562.0
2024-06-16,BNB,Cryptocurrency,608.2,611.8,601.1,610.8,610.8,104827.154
2024-06-16,BTC,Cryptocurrency,66228.25,66998.7,66034.5,66676.87,66676.87,9392.52223
2024-06-16,ETH,Cryptocurrency,3568.75,3653.79,3541.05,3624.41,3624.41,149839.982
2024-06-16,SOL,Cryptocurrency,145.52,151.35,143.08,151.3,151.3,1405879.427
2024-06-16,XRP,Cryptocurrency,0.4908,0.4997,0.4878,0.4891,0.4891,161562815.0
2024-06-17,AAPL,Stock,213.3699951171875,218.9499969482422,212.72000122070312,216.6699981689453,215.00714111328125,93728300.0
2024-06-17,AMZN,Stock,182.5200042724609,185.0,181.22000122070312,184.05999755859372,184.05999755859372,35601900.0
2024-06-17,BNB,Cryptocurrency,610.9,612.6,591.4,604.3,604.3,235509.028
2024-06-17,BTC,Cryptocurrency,66676.86,67298.81,65130.0,66504.33,66504.33,27386.16851
2024-06-17,ETH,Cryptocurrency,3624.41,3638.37,3463.39,3511.46,3511.46,337805.6402
2024-06-17,GOOGL,Stock,175.4600067138672,178.36000061035156,174.80999755859375,177.24000549316406,175.98887634277344,19618500.0
2024-06-17,JPM,Stock,193.47999572753903,195.5800018310547,192.63999938964844,194.97999572753903,186.9252014160156,8725400.0
2024-06-17,META,Stock,501.6700134277344,510.75,496.010009765625,506.6300048828125,503.71820068359375,11266600.0
2024-06-17,MSFT,Stock,442.5899963378906,450.9400024414063,440.7200012207031,448.3699951171875,442.38861083984375,20790000.0
2024-06-17,NVDA,Stock,132.99000549316406,133.72999572753906,129.5800018310547,130.97999572753906,130.91688537597656,288504400.0
2024-06-17,SOL,Cryptocurrency,151.3,151.79,139.85,143.27,143.27,3412959.812
2024-06-17,SPY,Stock,542.0800170898438,548.530029296875,541.6099853515625,547.0999755859375,534.1015625,55839500.0
2024-06-17,TSLA,Stock,177.9199981689453,188.80999755859372,177.0,187.44000244140625,187.44000244140625,109786100.0
2024-06-17,V,Stock,269.0,271.8299865722656,269.0,271.1700134277344,267.6568603515625,9258200.0
2024-06-17,XRP,Cryptocurrency,0.4891,0.5213,0.4838,0.5047,0.5047,584945066.0
2024-06-18,AAPL,Stock,217.58999633789065,218.6300048828125,213.0,214.2899932861328,212.6453857421875,79943300.0
2024-06-18,AMZN,Stock,183.7400054931641,184.2899932861328,181.42999267578125,182.80999755859372,182.80999755859372,36659200.0
2024-06-18,BNB,Cryptocurrency,604.3,605.2,575.0,588.6,588.6,459142.573
2024-06-18,BTC,Cryptocurrency,66504.33,66588.23,64060.0,65175.32,65175.32,42350.10244
2024-06-18,ETH,Cryptocurrency,3511.47,3517.2,3355.0,3483.42,3483.42,449913.3014
2024-06-18,GOOGL,Stock,177.13999938964844,177.38999938964844,174.10000610351562,175.08999633789062,173.85403442382812,21869900.0
2024-06-18,JPM,Stock,194.6000061035156,197.9600067138672,194.1300048828125,197.0,188.86175537109372,9023000.0
2024-06-18,META,Stock,504.55999755859375,506.0,495.0199890136719,499.489990234375,496.6191711425781,13060400.0
2024-06-18,MSFT,Stock,449.7099914550781,450.1400146484375,444.8900146484375,446.3399963378906,440.3857116699219,17112500.0
2024-06-18,NVDA,Stock,131.13999938964844,136.3300018310547,130.69000244140625,135.5800018310547,135.5146484375,294335100.0
2024-06-18,SOL,Cryptocurrency,143.28,143.82,127.95,137.41,137.41,6557976.71
2024-06-18,SPY,Stock,547.1599731445312,548.6199951171875,546.72998046875,548.489990234375,535.4586181640625,41376400.0
2024-06-18,TSLA,Stock,186.55999755859372,187.1999969482422,182.3699951171875,184.8600006103516,184.8600006103516,68982300.0
2024-06-18,V,Stock,271.29998779296875,273.8999938964844,271.29998779296875,273.6199951171875,270.0751647949219,6707500.0
2024-06-18,XRP,Cryptocurrency,0.5048,0.5096,0.469,0.491,0.491,582727016.0
2024-06-19,BNB,Cryptocurrency,588.6,605.9,586.6,599.3,599.3,260529.062
2024-06-19,BTC,Cryptocurrency,65175.32,65727.54,64666.0,64974.37,64974.37,20060.79576
2024-06-19,ETH,Cryptocurrency,3483.42,3590.01,3465.65,3560.51,3560.51,321500.0027
2024-06-19,SOL,Cryptocurrency,137.41,141.9,134.47,135.62,135.62,3536777.468
2024-06-19,XRP,Cryptocurrency,0.4909,0.4996,0.4868,0.4933,0.4933,260612342.0
2024-06-20,AAPL,Stock,213.92999267578125,214.2400054931641,208.8500061035156,209.67999267578125,208.07077026367188,86172500.0
2024-06-20,AMZN,Stock,182.91000366210935,186.50999450683597,182.72000122070312,186.1000061035156,186.1000061035156,44726800.0
2024-06-20,BNB,Cryptocurrency,599.3,608.0,584.6,587.7,587.7,289498.772
2024-06-20,BTC,Cryptocurrency,64974.37,66482.94,64559.15,64869.99,64869.99,24265.29031
2024-06-20,ETH,Cryptocurrency,3560.51,3625.96,3486.0,3513.08,3513.08,329117.8453
2024-06-20,GOOGL,Stock,175.3699951171875,177.2899932861328,174.99000549316406,176.3000030517578,175.0555419921875,20160100.0
2024-06-20,JPM,Stock,196.38999938964844,199.4499969482422,196.1100006103516,198.6699981689453,190.46275329589844,8731100.0
2024-06-20,META,Stock,502.0,503.6700134277344,496.7699890136719,501.7000122070313,498.8165283203125,11801200.0
2024-06-20,MSFT,Stock,446.2999877929688,446.5299987792969,441.2699890136719,445.7000122070313,439.7542724609375,19877400.0
2024-06-20,NVDA,Stock,139.8000030517578,140.75999450683594,129.52000427246094,130.77999877929688,130.71697998046875,517768400.0
2024-06-20,SOL,Cryptocurrency,135.62,141.29,131.9,133.55,133.55,3507680.508
2024-06-20,SPY,Stock,549.4400024414062,550.1199951171875,545.1799926757812,547.0,534.0039672851562,70328200.0
2024-06-20,TSLA,Stock,184.67999267578125,185.2100067138672,179.66000366210938,181.57000732421875,181.57000732421875,55893100.0
2024-06-20,V,Stock,273.19000244140625,278.0400085449219,273.1000061035156,276.82000732421875,273.23370361328125,10164400.0
2024-06-20,XRP,Cryptocurrency,0.4933,0.5023,0.4883,0.4888,0.4888,324974220.0
2024-06-21,AAPL,Stock,210.38999938964844,211.88999938964844,207.1100006103516,207.4900054931641,205.89761352539065,241805100.0
2024-06-21,AMZN,Stock,187.8000030517578,189.27999877929688,185.8600006103516,189.0800018310547,189.0800018310547,70792500.0
2024-06-21,BNB,Cryptocurrency,587.7,589.3,577.8,586.1,586.1,191182.614
2024-06-21,BTC,Cryptocurrency,64869.99,65066.66,63379.35,64143.56,64143.56,25993.56442
2024-06-21,ETH,Cryptocurrency,3513.08,3547.55,3446.82,3518.5,3518.5,342155.102
2024-06-21,GOOGL,Stock,177.0,180.8500061035156,176.61000061035156,179.6300048828125,178.36199951171875,57759000.0
2024-06-21,JPM,Stock,196.7100067138672,197.1699981689453,194.22000122070312,196.3000030517578,188.1906890869141,20972100.0
2024-06-21,META,Stock,503.4500122070313,503.4500122070313,492.3900146484375,494.7799987792969,491.936279296875,22359200.0
2024-06-21,MSFT,Stock,447.3800048828125,450.5799865722656,446.510009765625,449.7799987792969,443.7798461914063,34187100.0
2024-06-21,NVDA,Stock,127.12000274658205,130.6300048828125,124.3000030517578,126.56999969482422,126.5090103149414,649445800.0
2024-06-21,SOL,Cryptocurrency,133.55,135.38,128.76,134.6,134.6,3230074.027
2024-06-21,SPY,Stock,544.4000244140625,545.6500244140625,543.02001953125,544.510009765625,533.2880249023438,64338600.0
2024-06-21,TSLA,Stock,182.3000030517578,183.9499969482422,180.69000244140625,183.00999450683597,183.00999450683597,61937300.0
2024-06-21,V,Stock,277.1700134277344,277.5400085449219,274.5799865722656,275.2200012207031,271.6544189453125,14594700.0
2024-06-21,XRP,Cryptocurrency,0.4888,0.4959,0.4797,0.4889,0.4889,336098409.0
2024-06-22,BNB,Cryptocurrency,586.2,591.4,581.0,591.1,591.1,100439.584
2024-06-22,BTC,Cryptocurrency,64143.56,64546.81,63943.82,64262.01,64262.01,7308.95542
2024-06-22,ETH,Cryptocurrency,3518.5,3521.19,3475.09,3495.75,3495.75,115774.6157
2024-06-22,SOL,Cryptocurrency,134.61,136.74,133.0,133.69,133.69,1399215.891
2024-06-22,XRP,Cryptocurrency,0.489,0.4897,0.4841,0.4866,0.4866,79168277.0
2024-06-23,BNB,Cryptocurrency,591.1,593.2,576.0,577.5,577.5,141025.834
2024-06-23,BTC,Cryptocurrency,64262.01,64521.0,63178.32,63210.01,63210.01,8224.45447
2024-06-23,ETH,Cryptocurrency,3495.76,3521.45,3406.38,3420.91,3420.91,133411.4304
2024-06-23,SOL,Cryptocurrency,133.7,135.09,128.22,128.69,128.69,1492401.231
2024-06-23,XRP,Cryptocurrency,0.4867,0.4892,0.4742,0.4797,0.4797,95099780.0
2024-06-24,AAPL,Stock,207.72000122070312,212.6999969482422,206.58999633789065,208.13999938964844,206.54258728027344,80727000.0
2024-06-24,AMZN,Stock,189.3300018310547,191.0,185.3300018310547,185.57000732421875,185.57000732421875,50610400.0
2024-06-24,BNB,Cryptocurrency,577.5,582.0,551.2,568.1,568.1,356915.248
2024-06-24,BTC,Cryptocurrency,63210.01,63369.8,58402.0,60293.3,60293.3,52161.35414
2024-06-24,ETH,Cryptocurrency,3420.91,3435.76,3240.0,3352.73,3352.73,543370.4229
2024-06-24,GOOGL,Stock,180.16000366210935,180.88999938964844,178.6699981689453,179.22000122070312,177.95489501953125,18298000.0
