timestamp,asset,asset_type,open,high,low,close,adjusted_close,volume,market_cap
2019-04-12,XRP,Cryptocurrency,0.3271,0.3282,0.31391,0.32325,0.32325,72144027.4,
2019-04-13,XRP,Cryptocurrency,0.32314,0.3359,0.31936,0.32458,0.32458,67170066.4,
2019-04-14,XRP,Cryptocurrency,0.32459,0.33,0.32121,0.32762,0.32762,36641180.9,
2019-04-15,XRP,Cryptocurrency,0.32761,0.33184,0.31311,0.31905,0.31905,60520268.3,
2019-04-16,XRP,Cryptocurrency,0.31889,0.325,0.31541,0.32379,0.32379,43657398.1,
2019-04-17,XRP,Cryptocurrency,0.324,0.341,0.319,0.33436,0.33436,104205590.3,
2019-04-18,XRP,Cryptocurrency,0.33435,0.34671,0.33116,0.33533,0.33533,89265139.5,
2019-04-19,XRP,Cryptocurrency,0.33525,0.33537,0.32606,0.32999,0.32999,56599475.8,
2019-04-20,XRP,Cryptocurrency,0.33008,0.33241,0.321,0.32668,0.32668,50641661.9,
2019-04-21,XRP,Cryptocurrency,0.32673,0.32815,0.31356,0.31963,0.31963,56724369.4,
2019-04-22,XRP,Cryptocurrency,0.31972,0.3306,0.31624,0.32252,0.32252,66794738.7,
2019-04-23,XRP,Cryptocurrency,0.32232,0.32647,0.31684,0.31807,0.31807,54953934.0,
2019-04-24,XRP,Cryptocurrency,0.31802,0.31989,0.2888,0.29963,0.29963,117021557.4,
2019-04-25,XRP,Cryptocurrency,0.29971,0.30581,0.28455,0.29161,0.29161,89489236.1,
2019-04-26,XRP,Cryptocurrency,0.29162,0.30491,0.28839,0.3035,0.3035,72046167.9,
2019-04-27,XRP,Cryptocurrency,0.3034,0.30499,0.2975,0.29928,0.29928,32921334.6,
2019-04-28,XRP,Cryptocurrency,0.29942,0.30278,0.29535,0.29946,0.29946,27792665.6,
2019-04-29,XRP,Cryptocurrency,0.29948,0.30161,0.28959,0.29323,0.29323,40369249.3,
2019-04-30,XRP,Cryptocurrency,0.29313,0.31249,0.29154,0.3087,0.3087,79732128.9,
2019-05-01,XRP,Cryptocurrency,0.30855,0.31,0.29992,0.30304,0.30304,48514885.7,
2019-05-02,XRP,Cryptocurrency,0.30313,0.30478,0.30072,0.30205,0.30205,33326988.7,
2019-05-03,XRP,Cryptocurrency,0.30206,0.31053,0.3003,0.30784,0.30784,69197287.9,
2019-05-04,XRP,Cryptocurrency,0.30792,0.31856,0.29634,0.30305,0.30305,66819936.9,
2019-05-05,XRP,Cryptocurrency,0.30293,0.305,0.29892,0.30044,0.30044,30103928.8,
2019-05-06,XRP,Cryptocurrency,0.30044,0.30751,0.29479,0.30283,0.30283,51001442.8,
2019-05-07,XRP,Cryptocurrency,0.30284,0.30726,0.29712,0.29819,0.29819,57173886.2,
2019-05-08,XRP,Cryptocurrency,0.29843,0.30275,0.29567,0.29958,0.29958,34177808.2,
2019-05-09,XRP,Cryptocurrency,0.29957,0.30198,0.29195,0.29488,0.29488,43626389.8,
2019-05-10,XRP,Cryptocurrency,0.29475,0.30198,0.29061,0.29881,0.29881,49685072.4,
2019-05-11,XRP,Cryptocurrency,0.29877,0.3372,0.29801,0.31724,0.31724,191745220.0,
2019-05-12,XRP,Cryptocurrency,0.31703,0.32992,0.30233,0.31016,0.31016,142010500.4,
2019-05-13,XRP,Cryptocurrency,0.31014,0.329,0.30785,0.32409,0.32409,135144821.2,
2019-05-14,XRP,Cryptocurrency,0.32385,0.4362,0.32199,0.409,0.409,602192165.3,
2019-05-15,XRP,Cryptocurrency,0.409,0.467,0.40737,0.45734,0.45734,281029374.4,
2019-05-16,XRP,Cryptocurrency,0.45723,0.479,0.39334,0.41876,0.41876,456302195.7,
2019-05-17,XRP,Cryptocurrency,0.41891,0.42394,0.3585,0.38862,0.38862,348570589.6,
2019-05-18,XRP,Cryptocurrency,0.38858,0.39598,0.3634,0.37183,0.37183,147757619.6,
2019-05-19,XRP,Cryptocurrency,0.37178,0.42796,0.37,0.41631,0.41631,242837597.6,
2019-05-20,XRP,Cryptocurrency,0.41612,0.41647,0.37812,0.39636,0.39636,186638980.5,
2019-05-21,XRP,Cryptocurrency,0.39629,0.40738,0.3853,0.39524,0.39524,136551127.7,
2019-05-22,XRP,Cryptocurrency,0.39515,0.4111,0.366,0.37183,0.37183,163758384.8,
2019-05-23,XRP,Cryptocurrency,0.37171,0.38269,0.36091,0.37956,0.37956,123020941.9,
2019-05-24,XRP,Cryptocurrency,0.37989,0.39375,0.36982,0.38286,0.38286,128350309.9,
2019-05-25,XRP,Cryptocurrency,0.38286,0.393,0.37941,0.3852,0.3852,74444217.1,
2019-05-26,XRP,Cryptocurrency,0.38526,0.41368,0.373,0.40372,0.40372,96380922.0,
2019-05-27,XRP,Cryptocurrency,0.40364,0.44645,0.399,0.43331,0.43331,198385219.3,
